modId:ID,name,version,author,pzVersion,description,:LABEL
59meteorMakeReinforcedTire,,59 Cadillac Miller-Meteor,B42,200,Making,Recipe
59meteorMakeHood,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeFrontDoor,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeRearDoor,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeTrunkLid,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeLeftSeat,,59 Cadillac Miller-Meteor,B42,200,Making,Recipe
59meteorMakeRightSeat,,59 Cadillac Miller-Meteor,B42,200,Making,Recipe
59meteorMakeSmallRearSeat,,59 Cadillac Miller-Meteor,B42,200,Making,Recipe
59meteorMakeFrontWindshield,,59 Cadillac Miller-Meteor,B42,200,Making,Recipe
59meteorMakeSideWindow,,59 Cadillac Miller-Meteor,B42,200,Making,Recipe
59meteorMakeRearWindshield,,59 Cadillac Miller-Meteor,B42,200,Making,Recipe
59meteorMakeFrontWindshieldArmor,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeFrontWindowArmor,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeRearWindowArmor,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeRearWindshieldArmor,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeFrontBumper,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeFrontBullbar,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeReinforcedFrontBumper,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeRearBumper,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
59meteorMakeRoofrack,,59 Cadillac Miller-Meteor,B42,200,Welding,Recipe
MakeCarBatterySledge,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeCleaverAxe,,MadCrafter,B42,220,CraftWeapon2H,Recipe
MakeDaggerTrident,,MadCrafter,B42,350,CraftWeapon2H,Recipe
MakeElectricAxe,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeElectricBaseballBat,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeElectricRailSpikeSpear,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeElectricShovel,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeElectricSword,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeFireExtinguisherSledge,,MadCrafter,B42,180,CraftWeapon2H,Recipe
MakeRailSpikeSpear,,MadCrafter,B42,150,CraftWeapon2H,Recipe
MakeSawBoltCutters,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeDaggerHandAxe,,MadCrafter,B42,250,CraftWeapon2H,Recipe
MakeElectricMachete,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeElectricMosquitoSwatter,,MadCrafter,B42,300,CraftWeapon2H,Recipe
MakeNailShortSword,,MadCrafter,B42,200,CraftWeapon2H,Recipe
MakePipeWrenchAxe,,MadCrafter,B42,180,CraftWeapon2H,Recipe
MakeSawBladeClaw,,MadCrafter,B42,250,CraftWeapon2H,Recipe
MakeWrenchKnife,,MadCrafter,B42,200,CraftWeapon2H,Recipe
MakeZuluShortSpear,,MadCrafter,B42,200,CraftWeapon2H,Recipe
OpenBoxOfCannedFood,,Vanilla Foods Expanded,B42,50,,Recipe
PackCannedFood,,Vanilla Foods Expanded,B42,50,,Recipe
MakeJar,,Vanilla Foods Expanded,B42,50,,Recipe
OpenJarOfFood,,Vanilla Foods Expanded,B42,50,,Recipe
PlacePastaInSaucepan2,,Vanilla Foods Expanded,B42,50,,Recipe
PlacePastaInCookingPot2,,Vanilla Foods Expanded,B42,50,,Recipe
PlaceRiceInSaucepan2,,Vanilla Foods Expanded,B42,50,,Recipe
PlaceRiceInCookingPot2,,Vanilla Foods Expanded,B42,50,,Recipe
OpenPackOfBeer,,Vanilla Foods Expanded,B42,50,,Recipe
OpenBagOfFrozenFood,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_OpenInsectCan,,Vanilla Foods Expanded,B42,20,,Recipe
VFX_OpenBoxOfSmallCannedFood,,Vanilla Foods Expanded,B42,100,UnPackBox_Small,Recipe
VFX_PackBoxOfSmallCannedFood,,Vanilla Foods Expanded,B42,100,PackingBox_Small,Recipe
VFX_OpenJar,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenJarofPickles,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenBoxSoupSachet,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_PrepareSoup_Pumpkin,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PrepareSoup_PeaAndHam,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PrepareSoup_ChickenNoodle,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PrepareSoup_Tomato,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_OpenBoxRamen,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_OpenPacketRamen,,Vanilla Foods Expanded,B42,10,,Recipe
VFX_PrepareRamen,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_PreparePacketPasta,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PreparePacketRice,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareFreshPastaSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareFreshPastaPot,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareMarinara,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareSpicyMarinara,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareMeatSauce,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareBasilPesto,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareAlfredoSauce,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareBechamelSauce,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_OpenHomemadePastaSauce,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_MakeBowlOfCereal,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_MakeBowlOfGranola,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_TakeBouillonCubeFromBox,,Vanilla Foods Expanded,B42,10,,Recipe
VFX_OpenSnackCakeBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenToasterStrudelBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenPackagedStrudel,,Vanilla Foods Expanded,B42,10,,Recipe
VFX_OpenPuddingBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenJelloBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenFruitCupBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenGranolaBarBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_MakeCakeBatter,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PutCakeInBakingPan,,Vanilla Foods Expanded,B42,20,,Recipe
VFX_SliceCake,,Vanilla Foods Expanded,B42,20,SliceFood_Surface,Recipe
VFX_PrepareFrenchVanillaCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareCarrotCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareChocolateCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareRedVelvetCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareStrawberryCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareCaramelCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareOrangePoppyseedCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareConfettiCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareSpiceCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareYellowCake,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_MakeMuffinBatter,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareMuffinTray,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_GetMuffinsFromTray,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_PrepareAppleCinnamonMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareBlueberryMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareChocolateChipMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareDoubleChocolateMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareCornMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareLemonPoppyMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_MakeBrownieBatter,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareBrownieTray,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_GetBrowniesFromTray,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_PrepareBrownies,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_MakeCookieDough,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_Get6Cookies,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_PreparePeanutButterCookieDough,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PrepareGingerbreadCookieDough,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PrepareSnickerdoodleCookieDough,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PrepareDessertBread,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_SliceDessertBread,,Vanilla Foods Expanded,B42,20,SliceFood_Surface,Recipe
VFX_PrepareBananaBread,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PreparePumpkinBread,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareChocolateSwirlBread,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareCinnamonSwirlBread,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareCranberryBread,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareBiscuits,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_Get6Biscuits,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_PrepareCheddarBiscuits,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PrepareHomestyleBiscuits,,Vanilla Foods Expanded,B42,40,,Recipe
VFX_PreparePuddingMix,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareCaramelFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareChocolateFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareLemonFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareStrawberryFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareCreamCheeseFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareConfettiFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareVanillaFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_SliceBakingPie,,Vanilla Foods Expanded,B42,40,SliceFood_Surface,Recipe
VFX_PreparePieFilling,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareApplePie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareCherryPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareBlueberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareStrawberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PreparePeachPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareMixedBerryPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareLemonCreamPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareBlackberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareRaspberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PreparePumpkinPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareSweetPotatoPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PreparePecanPie,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_SlicePizza,,Vanilla Foods Expanded,B42,50,SliceMeat_Surface,Recipe
VFX_OpenUncrustablesBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenPizzaRollBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_OpenBreakfastSandwichBox,,Vanilla Foods Expanded,B42,15,,Recipe
VFX_ScoopIceCream,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_SliceFrozenPie,,Vanilla Foods Expanded,B42,40,SliceFood_Surface,Recipe
VFX_OpenPackSausages,,Vanilla Foods Expanded,B42,20,,Recipe
VFX_OpenPackMeatballs,,Vanilla Foods Expanded,B42,20,,Recipe
VFX_SlicePotato,,Vanilla Foods Expanded,B42,50,SliceFood_Surface,Recipe
VFX_PrepareMashedPotato,,Vanilla Foods Expanded,B42,100,,Recipe
VFX_OpenCandyBag,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_MakePancakes,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_MakeGravy,,Vanilla Foods Expanded,B42,60,,Recipe
VFX_MakeFrostedDoughnuts,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_Make2Bowls,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_Make4Bowls,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_Make2Plates,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_Make4Plates,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_MakeDrinkMixPitcher,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_TakeTeaBagFromBox,,Vanilla Foods Expanded,B42,10,,Recipe
VFX_MakeProteinShake,,Vanilla Foods Expanded,B42,30,,Recipe
VFX_OpenBottleOfBeer,,Vanilla Foods Expanded,B42,15,OpenBeerBottle,Recipe
VFX_PrepareShephardsPie,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareTunaCasserole,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareBakedZiti,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareStuffedBellPeppers,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_GetStuffedBellPeppers,,Vanilla Foods Expanded,B42,20,,Recipe
VFX_PrepareChickenPotPie,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareMoussaka,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareChickenDivan,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareSalisburySteak,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareFishandChips,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareBangersandMash,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareFullEnglishBreakfast,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareHalfEnglishBreakfast,,Vanilla Foods Expanded,B42,50,,Recipe
VFX_PrepareScotchEgg,,Vanilla Foods Expanded,B42,100,,Recipe
VFX_PrepareSausageAndAppleFry,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareBeansOnToast,,Vanilla Foods Expanded,B42,100,,Recipe
VFX_PrepareButterChicken,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareThaiGreenCurry,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareMassamanCurry,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareChanaMasala,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareSweetPotatoChickpeaCurry,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareTofuCurry,,Vanilla Foods Expanded,B42,200,,Recipe
VFX_PrepareLasagna,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareMeatloaf,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareBakedPotato,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareScallopedPotatoBake,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareQuiche,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareNachos,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareEnchilada,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareCheesecake,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareMilkshake,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareSushi,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_PrepareFriedRice,,Vanilla Foods Expanded,B42,80,,Recipe
VFX_GetBakedPotato,,Vanilla Foods Expanded,B42,20,,Recipe
VFX_SliceCheesecake,,Vanilla Foods Expanded,B42,20,SliceFood_Surface,Recipe
VFX_MakeSpiceRackSmallLight,,Vanilla Foods Expanded,B42,60,MakingHammer_Surface,Recipe
VFX_MakeSpiceRackSmallDark,,Vanilla Foods Expanded,B42,60,MakingHammer_Surface,Recipe
VFX_MakeSpiceRackLargeLight,,Vanilla Foods Expanded,B42,60,MakingHammer_Surface,Recipe
VFX_MakeSpiceRackLargeDark,,Vanilla Foods Expanded,B42,60,MakingHammer_Surface,Recipe
OpenCan,,Vanilla Foods Expanded,B42,100,OpenTinCan,Recipe
OpenCanKnifeOrSharpStoneFlake,,Vanilla Foods Expanded,B42,80,OpenTinCan,Recipe
OpenInsectCan,,Vanilla Foods Expanded,B42,20,,Recipe
OpenBoxOfSmallCannedFood,,Vanilla Foods Expanded,B42,100,UnPackBox_Small,Recipe
PackBoxOfCannedFood,,Vanilla Foods Expanded,B42,100,PackingBox,Recipe
PackBoxOfSmallCannedFood,,Vanilla Foods Expanded,B42,100,PackingBox_Small,Recipe
OpenJar,,Vanilla Foods Expanded,B42,15,,Recipe
OpenJarofPickles,,Vanilla Foods Expanded,B42,15,,Recipe
OpenJarCanning,,Vanilla Foods Expanded,B42,15,,Recipe
MakeJarCanning,,Vanilla Foods Expanded,B42,100,,Recipe
OpenBoxSoupSachet,,Vanilla Foods Expanded,B42,30,,Recipe
PrepareSoup_Pumpkin,,Vanilla Foods Expanded,B42,40,,Recipe
PrepareSoup_PeaAndHam,,Vanilla Foods Expanded,B42,40,,Recipe
PrepareSoup_ChickenNoodle,,Vanilla Foods Expanded,B42,40,,Recipe
PrepareSoup_Tomato,,Vanilla Foods Expanded,B42,40,,Recipe
OpenBoxRamen,,Vanilla Foods Expanded,B42,30,,Recipe
OpenPacketRamen,,Vanilla Foods Expanded,B42,10,,Recipe
PrepareRamen,,Vanilla Foods Expanded,B42,60,,Recipe
PreparePacketPasta,,Vanilla Foods Expanded,B42,50,,Recipe
PreparePacketRice,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBrownRiceSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareJasmineRiceSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBasmatiRiceSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareArborioRiceSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBrownRicePot,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareJasmineRicePot,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBasmatiRicePot,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareArborioRicePot,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareMacaroniSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareFettuccineSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PreparePenneSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareMacaroniPot,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareFettuccinePot,,Vanilla Foods Expanded,B42,50,,Recipe
PreparePennePot,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareFreshPastaSaucepan,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareFreshPastaPot,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareMarinara,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareSpicyMarinara,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareMeatSauce,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBasilPesto,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareAlfredoSauce,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBechamelSauce,,Vanilla Foods Expanded,B42,50,,Recipe
OpenHomemadePastaSauce,,Vanilla Foods Expanded,B42,15,,Recipe
MakeBowlOfCereal,,Vanilla Foods Expanded,B42,30,,Recipe
MakeBowlOfGranola,,Vanilla Foods Expanded,B42,30,,Recipe
TakeBouillonCubeFromBox,,Vanilla Foods Expanded,B42,10,,Recipe
OpenSnackCakeBox,,Vanilla Foods Expanded,B42,15,,Recipe
OpenToasterStrudelBox,,Vanilla Foods Expanded,B42,15,,Recipe
OpenPackagedStrudel,,Vanilla Foods Expanded,B42,10,,Recipe
OpenPuddingBox,,Vanilla Foods Expanded,B42,15,,Recipe
OpenJelloBox,,Vanilla Foods Expanded,B42,15,,Recipe
OpenFruitCupBox,,Vanilla Foods Expanded,B42,15,,Recipe
OpenGranolaBarBox,,Vanilla Foods Expanded,B42,15,,Recipe
MakeCakeBatter,,Vanilla Foods Expanded,B42,50,,Recipe
PutCakeInBakingPan,,Vanilla Foods Expanded,B42,20,,Recipe
SliceCake,,Vanilla Foods Expanded,B42,20,SliceFood_Surface,Recipe
PrepareFrenchVanillaCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareCarrotCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareChocolateCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareRedVelvetCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareStrawberryCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareCaramelCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareOrangePoppyseedCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareConfettiCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareSpiceCake,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareYellowCake,,Vanilla Foods Expanded,B42,50,,Recipe
MakeMuffinBatter,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareMuffinTray,,Vanilla Foods Expanded,B42,60,,Recipe
GetMuffinsFromTray,,Vanilla Foods Expanded,B42,60,,Recipe
PrepareAppleCinnamonMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBlueberryMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareChocolateChipMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareDoubleChocolateMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareCornMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareLemonPoppyMuffins,,Vanilla Foods Expanded,B42,50,,Recipe
MakeBrownieBatter,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBrownieTray,,Vanilla Foods Expanded,B42,60,,Recipe
GetBrowniesFromTray,,Vanilla Foods Expanded,B42,60,,Recipe
PrepareBrownies,,Vanilla Foods Expanded,B42,50,,Recipe
MakeCookieDough,,Vanilla Foods Expanded,B42,50,,Recipe
Get6Cookies,,Vanilla Foods Expanded,B42,60,,Recipe
PreparePeanutButterCookieDough,,Vanilla Foods Expanded,B42,40,,Recipe
PrepareGingerbreadCookieDough,,Vanilla Foods Expanded,B42,40,,Recipe
PrepareSnickerdoodleCookieDough,,Vanilla Foods Expanded,B42,40,,Recipe
PrepareDessertBread,,Vanilla Foods Expanded,B42,50,,Recipe
SliceDessertBread,,Vanilla Foods Expanded,B42,20,SliceFood_Surface,Recipe
PrepareBananaBread,,Vanilla Foods Expanded,B42,50,,Recipe
PreparePumpkinBread,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareChocolateSwirlBread,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareCinnamonSwirlBread,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareCranberryBread,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareBiscuits,,Vanilla Foods Expanded,B42,50,,Recipe
Get6Biscuits,,Vanilla Foods Expanded,B42,60,,Recipe
PrepareCheddarBiscuits,,Vanilla Foods Expanded,B42,40,,Recipe
PrepareHomestyleBiscuits,,Vanilla Foods Expanded,B42,40,,Recipe
PreparePuddingMix,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareCaramelFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareChocolateFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareLemonFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareStrawberryFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareCreamCheeseFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareConfettiFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
PrepareVanillaFrosting,,Vanilla Foods Expanded,B42,50,,Recipe
SliceBakingPie,,Vanilla Foods Expanded,B42,40,SliceFood_Surface,Recipe
PreparePieFilling,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareApplePie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareCherryPie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareBlueberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareStrawberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
PreparePeachPie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareMixedBerryPie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareLemonCreamPie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareBlackberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareRaspberryPie,,Vanilla Foods Expanded,B42,80,,Recipe
PreparePumpkinPie,,Vanilla Foods Expanded,B42,80,,Recipe
PrepareSweetPotatoPie,,Vanilla Foods Expanded,B42,80,,Recipe
PreparePecanPie,,Vanilla Foods Expanded,B42,80,,Recipe
SlicePizza,,Vanilla Foods Expanded,B42,50,SliceMeat_Surface,Recipe
OpenBag,,Vanilla Foods Expanded,B42,20,,Recipe
OpenUncrustablesBox,,Vanilla Foods Expanded,B42,15,,Recipe
OpenPizzaRollBox,,Vanilla Foods Expanded,B42,15,,Recipe
OpenBreakfastSandwichBox,,Vanilla Foods Expanded,B42,15,,Recipe
ScoopIceCream,,Vanilla Foods Expanded,B42,30,,Recipe
SliceFrozenPie,,Vanilla Foods Expanded,B42,40,SliceFood_Surface,Recipe
OpenPackSausages,,Vanilla Foods Expanded,B42,20,,Recipe
OpenPackMeatballs,,Vanilla Foods Expanded,B42,20,,Recipe
SlicePotato,,Vanilla Foods Expanded,B42,50,SliceFood_Surface,Recipe
PrepareMashedPotato,,Vanilla Foods Expanded,B42,100,,Recipe
OpenCandyBag,,Vanilla Foods Expanded,B42,30,,Recipe
MakePancakes,,Vanilla Foods Expanded,B42,60,,Recipe
MakeWaffles,,Vanilla Foods Expanded,B42,60,,Recipe
MakeGravy,,Vanilla Foods Expanded,B42,60,,Recipe
MakeBagels,,Vanilla Foods Expanded,B42,60,,Recipe
MakePoppyBagels,,Vanilla Foods Expanded,B42,60,,Recipe
MakeSesameBagels,,Vanilla Foods Expanded,B42,60,,Recipe
MakeCornbread,,Vanilla Foods Expanded,B42,60,,Recipe
MakeCroissants,,Vanilla Foods Expanded,B42,60,,Recipe
MakeTortillas,,Vanilla Foods Expanded,B42,50,,Recipe
MakeDoughnuts,,Vanilla Foods Expanded,B42,60,,Recipe
MakeChocolateDoughnuts,,Vanilla Foods Expanded,B42,60,,Recipe
MakeFrostedDoughnuts,,Vanilla Foods Expanded,B42,30,,Recipe
MakeFriedOysters,,Vanilla Foods Expanded,B42,60,,Recipe
