:START_ID,:END_ID,:TYPE,count,mode,prop,chance
81deloreanDMC12BTTF,81deloreanDMC12,REQUIRES,,,,
68firebird,damnlib,REQUIRES,,,,
92jeepYJJP18,92jeepYJ,REQUIRES,,,,
92jeepYJ,damnlib,REQUIRES,,,,
89volvo200,damnlib,REQUIRES,,,,
StandardizedVehicleUpgrades3V,tsarslib,REQUIRES,,,,
StandardizedVehicleUpgrades3V,StandardizedVehicleUpgrades3Core,REQUIRES,,,,
98stagea,damnlib,REQUIRES,,,,
82firebirdKITT,82firebird,REQUIRES,,,,
82firebird,damnlib,REQUIRES,,,,
KI5trailers,damnlib,REQUIRES,,,,
SPNRetextureCustom,SPNCC,REQUIRES,,,,
77firebird,damnlib,REQUIRES,,,,
91fordLTD,damnlib,REQUIRES,,,,
82porsche911,damnlib,REQUIRES,,,,
B42CNExtraPatch,B42CNTranslate,REQUIRES,,,,
TheyKnewB42CN,TheyKnewB42,REQUIRES,,,,
Daisy County B42 version,UnofficialMappersCommunityTilePack,REQUIRES,,,,
Nettle Township B42 version,UnofficialMappersCommunityTilePack,REQUIRES,,,,
Cute girl voice_all vanilla,Cute girl voice_solo,REQUIRES,,,,
INVENTORY_TETRIS,EQUIPMENT_UI,REQUIRES,,,,
SimpleMoodleIndicators,moodlesinlua,REQUIRES,,,,
autotsartrailers,tsarslib,REQUIRES,,,,
[B42] Tatrapan,tsarslib,REQUIRES,,,,
ATA_Bus,tsarslib,REQUIRES,,,,
BanditsWeekOne,Bandits2,REQUIRES,,,,
StandardizedVehicleUpgrades3Core,tsarslib,REQUIRES,,,,
amclub,tsarslib,REQUIRES,,,,
ATA_Mustang,tsarslib,REQUIRES,,,,
ATA_Jeep_x2,ATA_Jeep,REQUIRES,,,,
ATA_Jeep_x2,tsarslib,REQUIRES,,,,
ATA_Jeep_x4,ATA_Jeep,REQUIRES,,,,
ATA_Jeep_x4,tsarslib,REQUIRES,,,,
ATA_Jeep,tsarslib,REQUIRES,,,,
ATA_Jeep_x10,ATA_Jeep,REQUIRES,,,,
ATA_Jeep_x10,tsarslib,REQUIRES,,,,
84jeepXJ,damnlib,REQUIRES,,,,
85chevyCaprice,damnlib,REQUIRES,,,,
85pontiacParisienne,damnlib,REQUIRES,,,,
SPNCCDetailsHD,SPNCCDetails,REQUIRES,,,,
SpnCharCustomDetailsHD,SpnCharCustomDetails,REQUIRES,,,,
SPNCCFaces,SPNCC,REQUIRES,,,,
SpnCharCustomFaces,SpnCharCustom,REQUIRES,,,,
SPNCCDetails,SPNCC,REQUIRES,,,,
SpnCharCustomDetails,SpnCharCustom,REQUIRES,,,,
85buickLeSabre,damnlib,REQUIRES,,,,
85oldsmobileDelta88,damnlib,REQUIRES,,,,
ATA_BMW_E36,tsarslib,REQUIRES,,,,
86chevyCUCV,damnlib,REQUIRES,,,,
TombBodyCustom,SPNCC,REQUIRES,,,,
GanydeBielovzki's Frockin Splendor! Vol.3,GanydeBielovzki's Frockin Splendor! Vol.2,REQUIRES,,,,
TombBodyCompat,TombBody,REQUIRES,,,,
TombBodyCompatBootsExp,TombBody,REQUIRES,,,,
TombBodyCompatBootsExp,SM4BootsExpandedB42,REQUIRES,,,,
ATA_Dadge,tsarslib,REQUIRES,,,,
ATA_Samara,tsarslib,REQUIRES,,,,
ATA_VanDeRumba,tsarslib,REQUIRES,,,,
88toyotaHilux,damnlib,REQUIRES,,,,
CleanUI,NeatUI_Framework,REQUIRES,,,,
66pontiacLeMans,damnlib,REQUIRES,,,,
ModernStatus,NeatUI_Framework,REQUIRES,,,,
GanydeBielovzki's Frockin Shirts n Ties,GanydeBielovzki's Frockin Splendor! Vol.2,REQUIRES,,,,
BuildingCraftRaccoonCity,BuildingCraft,REQUIRES,,,,
BuildingCraftRaccoonCity,RaccoonCityB42,REQUIRES,,,,
BanditsCreator,Bandits2,REQUIRES,,,,
KATTAJ1_Military,KATTAJ1_ClothesCore,REQUIRES,,,,
TheShortcut,NeatUI_Framework,REQUIRES,,,,
04vwTouran,damnlib,REQUIRES,,,,
BuildingCraftErikastiles,BuildingCraft,REQUIRES,,,,
BuildingCraftErikastiles,Erikas_Tiles,REQUIRES,,,,
Project_Cook,NeatUI_Framework,REQUIRES,,,,
Project_Cook_Pixel_Icon_Pack,NeatUI_Framework,REQUIRES,,,,
Project_Cook_Pixel_Icon_Pack,Project_Cook,REQUIRES,,,,
73fordFalconPS,73fordFalcon,REQUIRES,,,,
73fordFalcon,damnlib,REQUIRES,,,,
SurvivalHUD,ModManager,REQUIRES,,,,
SurvivalHUD,moodlesinlua,REQUIRES,,,,
Neat_Crafting,NeatUI_Framework,REQUIRES,,,,
91nissan240sx,damnlib,REQUIRES,,,,
Sector-7 Breach Highway,Sector-7 Breach,REQUIRES,,,,
cf_home,StarlitLibrary,REQUIRES,,,,
InteractiveTailoring,ChuckleberryFinnAlertSystem,REQUIRES,,,,
InteractiveTailoring,errorMagnifier,REQUIRES,,,,
TombGothTexNUDE,TombBodyTexNUDE,REQUIRES,,,,
TombGothTexDOLL,TombBodyTexDOLL,REQUIRES,,,,
TombGothTex,TombBodyTex,REQUIRES,,,,
Neat_Building,NeatUI_Framework,REQUIRES,,,,
GanydeBielovzki's Frockin Wiseguys,GanydeBielovzki's Frockin Splendor! Vol.2,REQUIRES,,,,
91fordRanger,damnlib,REQUIRES,,,,
Neat_Building_AddonXP,Neat_Building,REQUIRES,,,,
Neat_Crafting_AddonXP,Neat_Crafting,REQUIRES,,,,
MoatsB42,TchernoLib,REQUIRES,,,,
[B42]Chevrolet Corvette C6,tsarslib,REQUIRES,,,,
65banshee,damnlib,REQUIRES,,,,
ModManager,ModLoadOrderSorter_b42,REQUIRES,,,,
89defender,damnlib,REQUIRES,,,,
ATA_VanDeRumbaGardenia,tsarslib,REQUIRES,,,,
Cathaya Valley 2.0 B42 version,UnofficialMappersCommunityTilePack,REQUIRES,,,,
Daihatsu Hijet Truck Series,tsarslib,REQUIRES,,,,
ihm_picker,improvedhairmenubuild42,REQUIRES,,,,
84cadillacDeVille,damnlib,REQUIRES,,,,
84buickElectra,damnlib,REQUIRES,,,,
84oldsmobile98,damnlib,REQUIRES,,,,
VFExpansion2Reduxb42,VFExpansionReduxb42,REQUIRES,,,,
VFExpansion3Reduxb42,VFExpansionReduxb42,REQUIRES,,,,
85chevyStepVanexpanded,85chevyStepVan,REQUIRES,,,,
85chevyStepVan,damnlib,REQUIRES,,,,
ResearchLabInternProfession,ZVirusVaccine42BETA,REQUIRES,,,,
TombWardrobeALT,TombBody,REQUIRES,,,,
BuildingCraftEstate39,BuildingCraft,REQUIRES,,,,
ATA_VanDeRumbaGardeniaSkin,ATA_VanDeRumbaGardenia,REQUIRES,,,,
truemusicfix,tsarslib,REQUIRES,,,,
truemusicfix,truemusic,REQUIRES,,,,
TheyKnewB42.13patch,TheyKnewB42,REQUIRES,,,,
bin2_B42_13_1_Collection,errorMagnifier,REQUIRES,,,,
bin2_B42_13_1_Collection,ModernStatus,REQUIRES,,,,
bin2_B42_13_1_Collection,MiniHealthPanel,REQUIRES,,,,
bin2_B42_13_1_Collection,CleanUI,REQUIRES,,,,
bin2_B42_13_1_Collection,CleanHotBar,REQUIRES,,,,
bin2_B42_13_1_Collection,TheShortcut,REQUIRES,,,,
bin2_B42_13_1_Collection,SmartRadialMenu,REQUIRES,,,,
bin2_B42_13_1_Collection,B42Trans_CN,REQUIRES,,,,
bin2_B42_13_1_Collection,B42ModTrans_CN,REQUIRES,,,,
bin2_B42_13_1_Collection,NeatUI_Framework,REQUIRES,,,,
bin2_B42_13_1_Collection,ConsolidatedAllFixB42,REQUIRES,,,,
bin2_B42_13_1_Collection,FastForward,REQUIRES,,,,
bin2_B42_13_1_Collection,Neat_Controller_Support,REQUIRES,,,,
bin2_B42_13_1_Collection,Lingering Voices CN,REQUIRES,,,,
bin2_B42_13_Collection,errorMagnifier,REQUIRES,,,,
bin2_B42_13_Collection,ModernStatus,REQUIRES,,,,
bin2_B42_13_Collection,MiniHealthPanel,REQUIRES,,,,
bin2_B42_13_Collection,CleanUI,REQUIRES,,,,
bin2_B42_13_Collection,CleanHotBar,REQUIRES,,,,
bin2_B42_13_Collection,TheShortcut,REQUIRES,,,,
bin2_B42_13_Collection,SmartRadialMenu,REQUIRES,,,,
bin2_B42_13_Collection,B42Trans_CN,REQUIRES,,,,
bin2_B42_13_Collection,B42ModTrans_CN,REQUIRES,,,,
bin2_B42_13_Collection,NeatUI_Framework,REQUIRES,,,,
bin2_B42_13_Collection,ConsolidatedAllFixB42,REQUIRES,,,,
bin2_B42_13_Collection,FastForward,REQUIRES,,,,
bin2_B42_14_1_Collection,ChuckleberryFinnAlertSystem,REQUIRES,,,,
bin2_B42_14_1_Collection,errorMagnifier,REQUIRES,,,,
bin2_B42_14_1_Collection,ModLoadOrderSorter_b42,REQUIRES,,,,
bin2_B42_14_1_Collection,ModManager,REQUIRES,,,,
bin2_B42_14_1_Collection,mapmodmanager,REQUIRES,,,,
bin2_B42_14_1_Collection,MoodleFramework,REQUIRES,,,,
bin2_B42_14_1_Collection,NeatUI_Framework,REQUIRES,,,,
bin2_B42_14_1_Collection,Optimal,REQUIRES,,,,
bin2_B42_14_1_Collection,42Grapeseed,REQUIRES,,,,
bin2_B42_14_1_Collection,AshenwoodmodNewB42,REQUIRES,,,,
bin2_B42_14_1_Collection,Louisville_River_Marina,REQUIRES,,,,
bin2_B42_14_1_Collection,RaccoonCityB42,REQUIRES,,,,
bin2_B42_14_1_Collection,damnlib,REQUIRES,,,,
bin2_B42_14_1_Collection,04vwTouran,REQUIRES,,,,
bin2_B42_14_1_Collection,69mini,REQUIRES,,,,
bin2_B42_14_1_Collection,69mini_ItalianJob,REQUIRES,,,,
bin2_B42_14_1_Collection,69mini_MrBean,REQUIRES,,,,
bin2_B42_14_1_Collection,69mini_PitbullSpecial,REQUIRES,,,,
bin2_B42_14_1_Collection,76chevyKseries,REQUIRES,,,,
bin2_B42_14_1_Collection,82jeepJ10,REQUIRES,,,,
bin2_B42_14_1_Collection,82jeepJ10t,REQUIRES,,,,
bin2_B42_14_1_Collection,84merc,REQUIRES,,,,
bin2_B42_14_1_Collection,85chevyStepVan,REQUIRES,,,,
bin2_B42_14_1_Collection,85chevyStepVanexpanded,REQUIRES,,,,
bin2_B42_14_1_Collection,87fordB700,REQUIRES,,,,
bin2_B42_14_1_Collection,88chevyS10,REQUIRES,,,,
bin2_B42_14_1_Collection,88toyotaHilux,REQUIRES,,,,
bin2_B42_14_1_Collection,89defender,REQUIRES,,,,
bin2_B42_14_1_Collection,90fordF350ambulance,REQUIRES,,,,
bin2_B42_14_1_Collection,90pierceArrow,REQUIRES,,,,
bin2_B42_14_1_Collection,91fordRanger,REQUIRES,,,,
bin2_B42_14_1_Collection,92jeepYJ,REQUIRES,,,,
bin2_B42_14_1_Collection,92jeepYJJP18,REQUIRES,,,,
bin2_B42_14_1_Collection,93fordElgin,REQUIRES,,,,
bin2_B42_14_1_Collection,97bushmaster,REQUIRES,,,,
bin2_B42_14_1_Collection,98stagea,REQUIRES,,,,
bin2_B42_14_1_Collection,99fordCVPI,REQUIRES,,,,
bin2_B42_14_1_Collection,tsarslib,REQUIRES,,,,
bin2_B42_14_1_Collection,ATA_Jeep,REQUIRES,,,,
bin2_B42_14_1_Collection,autotsartrailers,REQUIRES,,,,
bin2_B42_14_1_Collection,KI5campers,REQUIRES,,,,
bin2_B42_14_1_Collection,KI5trailers,REQUIRES,,,,
bin2_B42_14_1_Collection,BB_CommonSense,REQUIRES,,,,
bin2_B42_14_1_Collection,CAExtendedCategories,REQUIRES,,,,
bin2_B42_14_1_Collection,CleanHotBar,REQUIRES,,,,
bin2_B42_14_1_Collection,CleanUI,REQUIRES,,,,
bin2_B42_14_1_Collection,ContextMenuBarricades,REQUIRES,,,,
bin2_B42_14_1_Collection,ContextMenuIconsCore,REQUIRES,,,,
bin2_B42_14_1_Collection,CookingSync,REQUIRES,,,,
bin2_B42_14_1_Collection,DryingRacksFixedB42MP,REQUIRES,,,,
bin2_B42_14_1_Collection,dustinguished_bolt_cutters,REQUIRES,,,,
bin2_B42_14_1_Collection,moodlesinlua,REQUIRES,,,,
bin2_B42_14_1_Collection,EPR_B42,REQUIRES,,,,
bin2_B42_14_1_Collection,FE_CommonSensePatch,REQUIRES,,,,
bin2_B42_14_1_Collection,FruitTreeChop,REQUIRES,,,,
bin2_B42_14_1_Collection,HereGoesTheSun,REQUIRES,,,,
bin2_B42_14_1_Collection,KillCount,REQUIRES,,,,
bin2_B42_14_1_Collection,KnownAndCollected,REQUIRES,,,,
bin2_B42_14_1_Collection,Lingering Voices,REQUIRES,,,,
bin2_B42_14_1_Collection,MiniHealthPanel,REQUIRES,,,,
bin2_B42_14_1_Collection,ModernStatus,REQUIRES,,,,
bin2_B42_14_1_Collection,Neat_Building,REQUIRES,,,,
bin2_B42_14_1_Collection,Neat_Building_AddonXP,REQUIRES,,,,
bin2_B42_14_1_Collection,Neat_Crafting,REQUIRES,,,,
bin2_B42_14_1_Collection,Neat_Crafting_AddonXP,REQUIRES,,,,
bin2_B42_14_1_Collection,Neat_Controller_Support,REQUIRES,,,,
bin2_B42_14_1_Collection,OcciferCodys_RainWashesVehicles,REQUIRES,,,,
bin2_B42_14_1_Collection,P4PickingMeister,REQUIRES,,,,
bin2_B42_14_1_Collection,P4TidyUpMeister,REQUIRES,,,,
bin2_B42_14_1_Collection,PlayableGameBoyB42,REQUIRES,,,,
bin2_B42_14_1_Collection,Project_Cook,REQUIRES,,,,
bin2_B42_14_1_Collection,ProximityInventory,REQUIRES,,,,
bin2_B42_14_1_Collection,radarz,REQUIRES,,,,
bin2_B42_14_1_Collection,RainCleansBlood,REQUIRES,,,,
bin2_B42_14_1_Collection,ReactiveSE,REQUIRES,,,,
bin2_B42_14_1_Collection,RealisticDash,REQUIRES,,,,
bin2_B42_14_1_Collection,ReplaceBandage,REQUIRES,,,,
bin2_B42_14_1_Collection,ReplaceBandage42.13patch,REQUIRES,,,,
bin2_B42_14_1_Collection,ShelterHold_Beehive,REQUIRES,,,,
bin2_B42_14_1_Collection,SimpleContextMenuIcons,REQUIRES,,,,
bin2_B42_14_1_Collection,SkillRecoveryJournal,REQUIRES,,,,
bin2_B42_14_1_Collection,SmartRadialMenu,REQUIRES,,,,
bin2_B42_14_1_Collection,STA_PryOpen,REQUIRES,,,,
bin2_B42_14_1_Collection,StarlitLibrary,REQUIRES,,,,
bin2_B42_14_1_Collection,SwapIt,REQUIRES,,,,
bin2_B42_14_1_Collection,TchernoLib,REQUIRES,,,,
bin2_B42_14_1_Collection,TeachKnowledge,REQUIRES,,,,
bin2_B42_14_1_Collection,TheShortcut,REQUIRES,,,,
bin2_B42_14_1_Collection,TheyKnewB42,REQUIRES,,,,
bin2_B42_14_1_Collection,TheyKnewB42.13patch,REQUIRES,,,,
bin2_B42_14_1_Collection,TheyKnewB42PatchPatch,REQUIRES,,,,
bin2_B42_14_1_Collection,WalletFix,REQUIRES,,,,
bin2_B42_14_1_Collection,LBB42,REQUIRES,,,,
bin2_B42_14_1_Collection,LDB42,REQUIRES,,,,
bin2_B42_14_1_Collection,Architect,REQUIRES,,,,
bin2_B42_14_1_Collection,ATA_Jeep_x10,REQUIRES,,,,
bin2_B42_14_1_Collection,ATA_Jeep_x2,REQUIRES,,,,
bin2_B42_14_1_Collection,ATA_Jeep_x4,REQUIRES,,,,
bin2_B42_14_1_Collection,BuildingCraft,REQUIRES,,,,
bin2_B42_14_1_Collection,BuildingCraftRaccoonCity,REQUIRES,,,,
bin2_B42_14_1_Collection,EHR,REQUIRES,,,,
bin2_B42_14_1_Collection,EnergyRoutingSystem,REQUIRES,,,,
bin2_B42_14_1_Collection,Erikas_Tiles,REQUIRES,,,,
bin2_B42_14_1_Collection,ERS_SmallProducersPack,REQUIRES,,,,
bin2_B42_14_1_Collection,hideVanillaReadIcon,REQUIRES,,,,
bin2_B42_14_1_Collection,KeyRingPlus,REQUIRES,,,,
bin2_B42_14_1_Collection,Ladders42131,REQUIRES,,,,
bin2_B42_14_1_Collection,LCB42,REQUIRES,,,,
bin2_B42_14_1_Collection,LEGION18,REQUIRES,,,,
bin2_B42_14_1_Collection,LFB42,REQUIRES,,,,
bin2_B42_14_1_Collection,LKB42,REQUIRES,,,,
bin2_B42_14_1_Collection,LNB42,REQUIRES,,,,
bin2_B42_14_1_Collection,LPTB42,REQUIRES,,,,
bin2_B42_14_1_Collection,LSB42,REQUIRES,,,,
bin2_B42_14_1_Collection,Makedriedfruit,REQUIRES,,,,
bin2_B42_14_1_Collection,Makefruitinjar,REQUIRES,,,,
bin2_B42_14_1_Collection,ProjectArcade,REQUIRES,,,,
bin2_B42_14_1_Collection,Rollerblades42,REQUIRES,,,,
bin2_B42_14_1_Collection,Snowman,REQUIRES,,,,
bin2_B42_14_1_Collection,truemusic,REQUIRES,,,,
bin2_B42_14_1_Collection,TM90sSkaPunkAlternative,REQUIRES,,,,
bin2_B42_14_1_Collection,TrueMusicRadio42,REQUIRES,,,,
bin2_B42_14_1_Collection,UseBeltAsWeapon,REQUIRES,,,,
bin2_B42_14_1_Collection,VanillaFoodsExpanded,REQUIRES,,,,
bin2_B42_14_1_Collection,Waterpipes,REQUIRES,,,,
bin2_B42_14_1_Collection,WorkshopUpdateCheck,REQUIRES,,,,
bin2_B42_14_1_Collection,XantjiRecycleEverything,REQUIRES,,,,
bin2_B42_14_1_Collection,B42CNTranslate,REQUIRES,,,,
bin2_B42_14_1_Collection,BuildingCraftErikastiles,REQUIRES,,,,
bin2_B42_14_1_Collection,BuildingCraftEstate39,REQUIRES,,,,
bin2_B42_14_1_Collection,EHR_CN,REQUIRES,,,,
bin2_B42_14_1_Collection,EPR_B42_CN,REQUIRES,,,,
bin2_B42_14_1_Collection,KI5 Completely Chinese,REQUIRES,,,,
bin2_B42_14_1_Collection,Lingering Voices CN,REQUIRES,,,,
bin2_B42_14_1_Collection,TheyKnewB42CN,REQUIRES,,,,
bin2_B42_14_1_Collection,B42Trans_CN,REQUIRES,,,,
bin2_B42_14_1_Collection,B42ModTrans_CN,REQUIRES,,,,
bin2_B42_Collection,ModLoadOrderSorter_b42,REQUIRES,,,,
bin2_B42_Collection,ModManager,REQUIRES,,,,
bin2_B42_Collection,ChuckleberryFinnAlertSystem,REQUIRES,,,,
bin2_B42_Collection,errorMagnifier,REQUIRES,,,,
bin2_B42_Collection,mapmodmanager,REQUIRES,,,,
bin2_B42_Collection,MoodleFramework,REQUIRES,,,,
bin2_B42_Collection,NeatUI_Framework,REQUIRES,,,,
bin2_B42_Collection,Optimal,REQUIRES,,,,
bin2_B42_Collection,42Grapeseed,REQUIRES,,,,
bin2_B42_Collection,AshenwoodmodNewB42,REQUIRES,,,,
bin2_B42_Collection,ConniesEchoCreekSpawnLocation,REQUIRES,,,,
bin2_B42_Collection,Louisville_River_Marina,REQUIRES,,,,
bin2_B42_Collection,RaccoonCityB42,REQUIRES,,,,
bin2_B42_Collection,WMTBoat,REQUIRES,,,,
bin2_B42_Collection,damnlib,REQUIRES,,,,
bin2_B42_Collection,04vwTouran,REQUIRES,,,,
bin2_B42_Collection,49powerWagon,REQUIRES,,,,
bin2_B42_Collection,59meteor,REQUIRES,,,,
bin2_B42_Collection,63beetle,REQUIRES,,,,
bin2_B42_Collection,63Type2Van,REQUIRES,,,,
bin2_B42_Collection,65banshee,REQUIRES,,,,
bin2_B42_Collection,66pontiacLeMans,REQUIRES,,,,
bin2_B42_Collection,67commando,REQUIRES,,,,
bin2_B42_Collection,67gt500,REQUIRES,,,,
bin2_B42_Collection,68firebird,REQUIRES,,,,
bin2_B42_Collection,69camaro,REQUIRES,,,,
bin2_B42_Collection,69charger,REQUIRES,,,,
bin2_B42_Collection,69mini,REQUIRES,,,,
bin2_B42_Collection,69mini_ItalianJob,REQUIRES,,,,
bin2_B42_Collection,69mini_MrBean,REQUIRES,,,,
bin2_B42_Collection,69mini_PitbullSpecial,REQUIRES,,,,
bin2_B42_Collection,69Riviera,REQUIRES,,,,
bin2_B42_Collection,70barracuda,REQUIRES,,,,
bin2_B42_Collection,70dodge,REQUIRES,,,,
bin2_B42_Collection,73fordFalcon,REQUIRES,,,,
bin2_B42_Collection,73fordFalconPS,REQUIRES,,,,
bin2_B42_Collection,75grandPrix,REQUIRES,,,,
bin2_B42_Collection,76chevyKseries,REQUIRES,,,,
bin2_B42_Collection,77firebird,REQUIRES,,,,
bin2_B42_Collection,78amgeneralM35A2,REQUIRES,,,,
bin2_B42_Collection,78amgeneralM35A2extra,REQUIRES,,,,
bin2_B42_Collection,78amgeneralM49A2C,REQUIRES,,,,
bin2_B42_Collection,78amgeneralM50A3,REQUIRES,,,,
bin2_B42_Collection,78amgeneralM62,REQUIRES,,,,
bin2_B42_Collection,80manKat1,REQUIRES,,,,
bin2_B42_Collection,81deloreanDMC12,REQUIRES,,,,
bin2_B42_Collection,81deloreanDMC12BTTF,REQUIRES,,,,
bin2_B42_Collection,82firebird,REQUIRES,,,,
bin2_B42_Collection,82firebirdKITT,REQUIRES,,,,
bin2_B42_Collection,82jeepJ10,REQUIRES,,,,
bin2_B42_Collection,82jeepJ10t,REQUIRES,,,,
bin2_B42_Collection,82porsche911,REQUIRES,,,,
bin2_B42_Collection,83amgeneralM923,REQUIRES,,,,
bin2_B42_Collection,83amgeneralM923extra,REQUIRES,,,,
bin2_B42_Collection,84buickElectra,REQUIRES,,,,
bin2_B42_Collection,84cadillacDeVille,REQUIRES,,,,
bin2_B42_Collection,84jeepXJ,REQUIRES,,,,
bin2_B42_Collection,84merc,REQUIRES,,,,
bin2_B42_Collection,84oldsmobile98,REQUIRES,,,,
bin2_B42_Collection,85buickLeSabre,REQUIRES,,,,
bin2_B42_Collection,85chevyCaprice,REQUIRES,,,,
bin2_B42_Collection,85chevyStepVan,REQUIRES,,,,
bin2_B42_Collection,85chevyStepVanexpanded,REQUIRES,,,,
bin2_B42_Collection,85oldsmobileDelta88,REQUIRES,,,,
bin2_B42_Collection,85pontiacParisienne,REQUIRES,,,,
bin2_B42_Collection,86chevyCUCV,REQUIRES,,,,
bin2_B42_Collection,86fordE150,REQUIRES,,,,
bin2_B42_Collection,86fordE150dnd,REQUIRES,,,,
bin2_B42_Collection,86fordE150expanded,REQUIRES,,,,
bin2_B42_Collection,86fordE150mm,REQUIRES,,,,
bin2_B42_Collection,86fordE150pd,REQUIRES,,,,
bin2_B42_Collection,86oshkoshP19A,REQUIRES,,,,
bin2_B42_Collection,87buickRegal,REQUIRES,,,,
bin2_B42_Collection,87chevySuburban,REQUIRES,,,,
bin2_B42_Collection,87fordB700,REQUIRES,,,,
bin2_B42_Collection,87toyotaMR2,REQUIRES,,,,
bin2_B42_Collection,88chevyS10,REQUIRES,,,,
bin2_B42_Collection,88toyotaHilux,REQUIRES,,,,
bin2_B42_Collection,89defender,REQUIRES,,,,
bin2_B42_Collection,89dodgeCaravan,REQUIRES,,,,
bin2_B42_Collection,89fordBronco,REQUIRES,,,,
bin2_B42_Collection,89trooper,REQUIRES,,,,
bin2_B42_Collection,89volvo200,REQUIRES,,,,
bin2_B42_Collection,90bmwE30,REQUIRES,,,,
bin2_B42_Collection,90fordF350ambulance,REQUIRES,,,,
